TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,250.0000,21.0000,248.0000,34.0000,13.0000,11.0000,16.0000
2000,250.0000,21.0000,496.0000,37.2000,14.0000,12.0000,16.0000
3000,188.0000,19.0000,737.8000,39.2000,14.0000,13.0000,18.0000
4000,250.0000,21.0000,986.6000,41.6000,15.0000,13.0000,19.0000
5000,157.0000,25.0000,1228.8000,42.0000,15.0000,14.0000,18.0000
