TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,54712.8040,93553.3975,146528.8521,67003.2433,135095.1830,144144.7085,153010.6635,99656.4090,70212.3980
2000,127715.3000,199478.8710,582202.0517,270723.1029,435270.3945,815195.9734,616155.1160,407948.5320,140440.3960
3000,185233.7925,239734.9945,1354116.7130,634953.1101,1188083.2990,2208078.0247,1392442.0605,940013.9550,660249.9400
4000,327388.0460,430337.0460,2304368.6003,1129444.4220,2152936.7910,4837511.9745,2473690.4900,1670418.7800,1173297.1440
5000,371755.3865,2342602.8995,3752420.1046,1758767.8782,2715801.3240,9228161.8432,3870642.7315,2673072.3730,918102.1720
