TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,0.6662,0.4682,0.5459,0.5671,0.6006,0.2172,0.4904,0.0000,0.0000
2000,0.7997,0.6345,0.5453,0.5786,0.7482,0.1515,0.4948,0.0000,0.0000
3000,0.8884,0.7770,0.5264,0.5444,0.6403,0.1246,0.4973,0.0000,0.0000
4000,0.8887,0.7764,0.5490,0.5261,0.6009,0.1018,0.4974,0.0000,0.0000
5000,0.9407,0.4669,0.5251,0.5152,0.7497,0.0846,0.4984,0.0000,0.0000
