TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,0.0000,1.0000,0.0000,210.8000,0.0000,1202.8000,0.0000,0.0000,0.0000
2000,0.0000,1.0000,0.0000,385.8000,0.0000,1940.4000,1.0000,0.0000,0.0000
3000,0.0000,4.0000,0.0000,754.4000,1.0000,2622.4000,2.0000,0.0000,0.0000
4000,0.0000,1.0000,0.0000,1232.0000,0.0000,3167.2000,1.0000,0.0000,0.0000
5000,0.0000,3.0000,0.0000,1760.2000,1.0000,3681.2000,2.0000,0.0000,0.0000
