TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,501.0000,1135.0000,832.0000,556.6000,665.0000,2406.0000,1039.0000,2004.0000,1335.0000
2000,501.0000,1151.0000,1668.0000,1072.8000,673.0000,9266.0000,2041.0000,4004.0000,1335.0000
3000,377.0000,857.0000,2699.6000,1756.6000,1684.0000,18465.2000,3031.0000,6006.0000,4002.0000
4000,501.0000,1151.0000,3286.4000,2371.8000,2657.0000,32122.6000,4041.0000,8004.0000,5335.0000
5000,315.0000,5707.0000,4522.8000,2946.0000,1668.0000,50421.4000,5031.0000,10012.0000,3339.0000
