TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,26.0000,33.9760,20.8602,139.1744,16.9200,150.4960,34.1280,32.0000,34.0000
2000,30.0000,40.9760,22.1792,143.8128,16.7115,186.1280,41.9600,35.0000,35.0000
3000,33.9947,48.0000,24.5550,144.0000,16.8093,210.4811,50.9893,38.0000,40.0000
4000,34.0000,47.9760,23.4751,144.0000,16.8535,240.4904,50.9520,38.0000,40.0000
5000,37.9936,56.9776,25.7665,144.0819,16.6844,273.3485,59.3488,41.0000,41.0000
