TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,1.9960,0.8811,1.2026,1.8049,1.5038,0.4162,0.9625,0.4990,0.7491
2000,3.9920,1.7376,1.1991,1.8673,2.9718,0.2159,0.9799,0.4995,1.4981
3000,7.9576,3.5006,1.1117,1.7083,1.7815,0.1625,0.9898,0.4995,0.7496
4000,7.9840,3.4752,1.2172,1.6868,1.5055,0.1246,0.9899,0.4998,0.7498
5000,15.8730,0.8761,1.1055,1.6982,2.9976,0.0992,0.9938,0.4994,1.4975
