TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,503.0000,945.0000,836.0000,536.0000,1041.0000,2842.0000,1804.0000
2000,561.0000,1751.0000,1630.0000,1008.0000,2041.0000,5784.0000,3575.0000
3000,644.0000,2681.0000,2450.0000,1754.0000,3041.0000,8610.0000,5571.0000
4000,795.0000,3507.0000,3340.0000,2486.0000,4041.0000,11502.0000,7353.0000
5000,939.0000,4517.0000,4120.0000,2861.0000,5041.0000,14368.0000,9087.0000
6000,1126.0000,5415.0000,5058.0000,3581.0000,6041.0000,17446.0000,10959.0000
7000,1303.0000,6403.0000,5826.0000,4095.0000,7041.0000,20138.0000,12694.0000
8000,1535.0000,7377.0000,6612.0000,4611.0000,8041.0000,22926.0000,14748.0000
9000,1825.0000,8335.0000,7496.0000,5196.0000,9041.0000,25816.0000,16480.0000
10000,2124.0000,9311.0000,8286.0000,5824.0000,10041.0000,28958.0000,18158.0000
