TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,277.0870,731.4300,140.8820,141.0080,661.4350,185.6020,187.0880
2000,253.5445,779.3925,139.4705,143.9760,745.5015,184.5805,186.0700
3000,246.0633,815.9887,139.9213,144.0000,795.7387,184.0183,185.4793
4000,246.4090,833.2408,141.1033,144.0000,829.5975,183.5910,185.0820
5000,246.2904,853.1704,140.0512,144.0640,857.6318,183.2600,184.7712
6000,247.4863,866.4132,141.9482,144.1627,879.5335,183.0012,184.4893
7000,248.0643,879.8661,141.3773,144.7063,897.8621,182.7543,184.2729
8000,250.3645,891.6949,140.0864,145.5920,914.6722,182.5779,184.0917
9000,252.3484,901.5433,140.4136,146.5796,928.2528,182.4116,183.9187
10000,254.5934,911.4802,140.5137,148.0432,940.6055,182.2645,183.7724
