BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,4833.4708,4519.6748,2130.2205,7395.6465,4012.1534,3225.9085,2173.8529
96,6894.0521,5883.8250,2603.2958,10322.8824,4534.8605,3737.9555,2699.3407
128,8912.0125,7190.9486,3043.7180,13268.7800,5078.7339,4259.1995,3336.7981
160,10925.7609,8579.8355,3535.9945,16207.1138,5586.4380,4787.7480,3853.0622
192,12952.2146,9896.0704,3955.0775,19117.9158,6113.0449,5301.1590,4499.2612
256,17117.5074,12586.6375,4905.2198,25021.5662,7178.5262,6339.6280,5523.1029
