BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,0.3296,0.5461,0.4958,0.4990,0.2588,0.3542,0.8259
96,0.3268,0.5435,0.4980,0.4989,0.2585,0.3549,0.8313
128,0.3304,0.5491,0.5056,0.4990,0.2563,0.3548,0.8197
160,0.3298,0.5440,0.4924,0.4990,0.2575,0.3531,0.8265
192,0.3325,0.5464,0.5070,0.4989,0.2569,0.3547,0.8163
256,0.3280,0.5467,0.4998,0.4990,0.2546,0.3544,0.8280
