BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,11041.0000,0.0000,4147.0000,0.0000,0.0000,0.0000,0.0000
96,11214.0000,0.0000,4043.0000,0.0000,0.0000,0.0000,0.0000
128,10950.0000,0.0000,3923.0000,0.0000,0.0000,0.0000,0.0000
160,11090.0000,0.0000,4231.0000,0.0000,0.0000,0.0000,0.0000
192,10854.0000,0.0000,3858.0000,0.0000,0.0000,0.0000,0.0000
256,11110.0000,0.0000,4002.0000,0.0000,0.0000,0.0000,0.0000
