BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,580.4197,96.2042,115.1184,601.3391,118.2607,119.7730,186.1973
96,912.0055,141.5072,147.5808,939.0609,182.2640,183.7842,252.9672
128,1241.4924,184.4290,179.9344,1280.2909,246.2695,247.7608,325.2739
160,1570.3153,231.9239,211.5024,1620.1664,310.2548,311.7752,391.4670
192,1899.3522,273.4570,244.0720,1954.5808,374.2593,375.7762,465.1230
256,2569.6628,362.5580,308.0208,2639.5918,502.2572,503.7722,595.8617
