BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,33.8410,114.2240,24.0680,120.0616,88.6474,65.7262,18.2818
96,34.1767,146.5692,24.4486,152.0483,88.7231,65.4902,17.7217
128,33.8571,177.8722,24.4156,184.0652,89.4125,65.5352,18.8869
160,33.5794,210.4736,24.5476,216.0582,89.0625,65.7774,18.2112
192,33.5349,242.1706,24.5234,248.0534,89.2527,65.5836,19.3054
256,34.1295,306.1648,24.7896,312.0546,89.9908,65.5402,18.0562
