BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,8.0000,9.0000,16.0000,16.0000,28.0000,15.0000,4.0000
96,8.0000,7.0000,19.0000,16.0000,27.0000,17.0000,4.0000
128,8.0000,9.0000,15.0000,15.0000,28.0000,15.0000,4.0000
160,7.0000,9.0000,18.0000,16.0000,27.0000,15.0000,4.0000
192,8.0000,9.0000,19.0000,15.0000,30.0000,15.0000,5.0000
256,7.0000,9.0000,17.0000,15.0000,31.0000,15.0000,5.0000
