BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,5.1703,3.7922,5.3232,11.6268,16.6031,9.5635,2.1843
96,5.1749,3.8058,5.3351,11.5997,16.6044,9.5475,2.1753
128,5.1669,3.7736,5.2954,11.6169,16.6325,9.5598,2.1947
160,5.1607,3.8138,5.3381,11.6176,16.6284,9.5646,2.1831
192,5.1571,3.7774,5.2991,11.5884,16.6325,9.5563,2.1980
256,5.1783,3.7788,5.3309,11.6181,16.6704,9.5555,2.1794
