BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,9303.0000,8310.0000,6023.0000,10041.0000,28640.0000,18235.0000,2108.0000
96,9385.0000,8400.0000,6038.0000,10043.0000,28686.0000,18174.0000,2030.0000
128,9313.0000,8212.0000,5857.0000,10041.0000,29022.0000,18188.0000,2199.0000
160,9231.0000,8382.0000,6079.0000,10041.0000,28834.0000,18319.0000,2099.0000
192,9225.0000,8302.0000,5866.0000,10043.0000,28920.0000,18191.0000,2250.0000
256,9377.0000,8292.0000,6005.0000,10041.0000,29278.0000,18213.0000,2077.0000
