BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,1.0749,1.2034,1.6603,0.9959,0.3492,0.5484,4.7438
96,1.0655,1.1905,1.6562,0.9957,0.3486,0.5502,4.9261
128,1.0738,1.2177,1.7074,0.9959,0.3446,0.5498,4.5475
160,1.0833,1.1930,1.6450,0.9959,0.3468,0.5459,4.7642
192,1.0840,1.2045,1.7047,0.9957,0.3458,0.5497,4.4444
256,1.0664,1.2060,1.6653,0.9959,0.3416,0.5491,4.8146
