BINARY_LENGTH,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
64,12545.5225,17541.7375,10732.6850,19877.1900,16479.0187,13125.1950,8772.3037
96,16504.9062,22449.0500,13764.1975,25866.1188,18490.7850,15092.3050,10800.7075
128,20274.0850,27113.5962,16557.3400,31860.2150,20591.3638,17096.9150,13326.9062
160,24025.9637,32107.4400,19875.3050,37851.1775,22539.1400,19133.2400,15315.0325
192,27847.5563,36853.7337,22442.4950,43839.4375,24566.9437,21106.0600,17875.3825
256,35866.0338,46505.5150,28693.2375,55825.1525,28674.2425,25099.6300,21826.7038
